iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J6_LEVEL,J7_LEVEL,J8_LEVEL,J9_LEVEL,J10_LEVEL,J11_LEVEL,J12_LEVEL,J13_LEVEL,J14_LEVEL,J15_LEVEL,J16_LEVEL,J17_LEVEL,J18_LEVEL,J19_LEVEL,J20_LEVEL,J21_LEVEL,J22_LEVEL,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS
20,2022-05-05 18:41:17.969020,8.728328472870128,8.353171799408734,68.95495419067421,59.83585306001264,59.81297849054648,59.79750049845103,50.58891063423037,50.573617754984426,50.57050501727911,50.57956010271025,38.29264395850635,38.27754373813542,38.27969960887481,59.65187142235889,59.827490368195384,60.114231101846876,59.803247551574486,38.40537016111574,38.276165495804136,59.743838237837295,59.80352419257776,68.95495419067409,60.13576488112802,38.27313644999019,0.0,0.0,0.0,0.0
21,2022-05-05 18:41:18.738335,8.630120706545506,8.377793460566672,68.91876183123478,59.79237130678615,59.7737439011638,59.76177502590294,50.56566075781544,50.556421055269524,50.554379538793896,50.56544670800217,38.31804762814561,38.313358569500245,38.31409124305333,59.67145358683035,59.78673161731098,60.00645994935,59.76727286938381,38.3893095058315,38.31347299529022,59.727681081703274,59.767527037086126,68.91876183123465,60.02316145778579,38.31218468253627,0.0,0.0,0.0,0.0
22,2022-05-05 18:41:19.442563,8.546138896931321,8.388189147763985,68.88637146951237,59.75401172754218,59.73919286995027,59.730287045181065,50.54489366950232,50.540090428579624,50.53895338759309,50.552352776844444,38.33511123969526,38.33504827627557,38.33580614911214,59.682448082531266,59.750578572581894,59.912496211002136,59.73556826886763,38.373693963045774,38.337056993635514,59.71185159391537,59.73577592738445,68.88637146951224,59.924995711540134,38.33679606980499,0.0,0.0,0.0,0.0
23,2022-05-05 18:41:20.011483,8.476169372063124,8.384572537545523,68.85767910102683,59.72071942715704,59.709345660064336,59.70311273411036,50.52685088706784,50.52500231733781,50.52453724549264,50.54055220606003,38.33987228607621,38.34198481890342,38.34270722339776,59.68456776915462,59.71895601371413,59.83213575039086,59.70820397648058,38.35857365610575,38.34715185730236,59.69631441474807,59.70831269037253,68.8576791010267,59.841049756866575,38.34718877855151,0.0,0.0,0.0,0.0
24,2022-05-05 18:41:20.583405,8.419579256902267,8.36757651250778,68.83160475846978,59.69131032168393,59.68274556376706,59.67858905783898,50.508864320156086,50.508423704494334,50.5083073830676,50.52671042607955,38.33114936150003,38.33598198999604,38.33685723351087,59.677665401542846,59.69074671488379,59.765092242209825,59.68367240640857,38.34289123257676,38.34291756056191,59.679943484803644,59.68380022443141,68.83160475846965,59.77110920246061,38.343566052624894,0.0,0.0,0.0,0.0
25,2022-05-05 18:41:21.157163,8.366942432493518,8.329623821953604,68.78937611370534,59.64705363447622,59.637182806925125,59.632969581743545,50.45608332605008,50.45599153909584,50.45596659904641,50.485151810171,38.29287066477465,38.3072390327869,38.30765820772735,59.64527670879671,59.647162703212516,59.709264890692424,59.640814740475165,38.3048561025292,38.32367663116154,59.642923015558026,59.64202193315994,68.78937611370522,59.71452663941504,38.32654780081126,0.0,0.0,0.0,0.0
26,2022-05-05 18:41:21.846741,8.31750497230917,8.288471772137244,68.74573928907479,59.60262320787595,59.593025929768956,59.588996907352474,50.412741786195916,50.412687805672576,50.41267307647255,50.44215386233278,38.25014286838271,38.26637107915506,38.26646413267148,59.60285085842415,59.60282869060769,59.65721075667612,59.59662256119346,38.261201914342834,38.285255015985946,59.599444710374485,59.597825846025316,68.74573928907466,59.6618955842181,38.288590467439086,0.0,0.0,0.0,0.0
27,2022-05-05 18:41:22.398225,8.26981753897273,8.2455697224999,68.70085951787084,59.55743559972646,59.5480190148672,59.544110882611584,50.368233418499074,50.368197715463225,50.36818794788413,50.397848152676076,38.20589076155203,38.22337801627065,38.22338620375144,59.55943619985637,59.55771123867973,59.60807881258101,59.551601641469254,38.21657291277135,38.243832853900386,59.55492417043822,59.55287428056252,68.70085951787073,59.61246114894552,38.2474357432438,0.0,0.0,0.0,0.0
28,2022-05-05 18:41:23.103993,8.223134229446947,8.201663560718588,68.65569685779447,59.512121020388,59.50280464254658,59.49896327446367,50.32329143519489,50.32326424343569,50.3232567933961,50.353015512695656,38.16114139102658,38.17932207664222,38.179316129812875,59.51531131168127,59.51243909181956,59.56056243338304,59.506368027552476,38.17156677607486,38.20077150206086,59.509997884759485,59.50770978817817,68.65569685779434,59.564775409214405,38.20453211635694,0.0,0.0,0.0,0.0
29,2022-05-05 18:41:23.684002,8.17702961903937,8.157178704621241,68.61043522310021,59.466781561190714,59.457524440299466,59.45372245774694,50.2781684915986,50.278145704300165,50.27813945563344,50.30795491436643,38.116150965628506,38.134760817850676,38.13473629991964,59.47068798418692,59.46712395171304,59.51397629595951,59.461074964660725,38.12639835587385,38.15677210614301,59.46488121769621,59.46246708516086,68.61043522310008,59.518093061788655,38.16062503146535,0.0,0.0,0.0,0.0
30,2022-05-05 18:41:24.332259,8.131261048336176,8.112357768512146,68.56514451967573,59.42144905759978,59.412227016336246,59.40844831591133,50.23296260120143,50.23294220308006,50.23293660674401,50.26278500784583,38.071030634594486,38.08990385450663,38.08986533617524,59.42577716934206,59.4218054163952,59.46792763730007,59.41576954330575,38.08116110320564,38.1122326266773,59.41967691949889,59.41719570853246,68.5651445196756,59.471989005358786,38.1161396345426,0.0,0.0,0.0,0.0
31,2022-05-05 18:41:25.020119,8.085688758749434,8.06734059206715,68.51984751440338,59.3761287217522,59.366927230281284,59.3631621567771,50.187715998651335,50.187696930344245,50.187691697308566,50.217559220233284,38.025836808413274,38.044867766996816,38.04482032622276,59.38070497897491,59.37649316065994,59.42219158667208,59.370464751353715,38.03589411594934,38.06737963355098,59.374430714256135,59.37191300446588,68.51984751440325,59.42622075663654,38.0713183810373,0.0,0.0,0.0,0.0
32,2022-05-05 18:41:25.589971,8.040231349061322,8.022208541939596,68.47454989032533,59.330817816245435,59.321628354874484,59.317871254554,50.14244810935237,50.14242979600215,50.142424769288624,50.17230342603828,37.98060075979711,37.99972529153106,37.999672411541,59.33553994800892,59.331186958516305,59.376638275263275,59.325162821775194,37.99061345348424,38.02234363646151,59.329162896414054,59.32662492957087,68.4745498903252,59.38064865495252,38.02630101824925,0.0,0.0,0.0,0.0
33,2022-05-05 18:41:26.155754,7.994841249785709,7.977009188385884,68.42925295639432,59.285513226411545,59.276330805661345,59.27257837011067,50.09716864934723,50.09715077000203,50.097145861921476,50.127031016002334,37.93534027547098,37.95452003872799,37.954463905532045,59.29032102454467,59.28588511493009,59.3311919662983,59.27986343233774,37.94532618129176,37.97720054050657,59.28388342876837,59.28133402513261,68.4292529563942,59.33519135517258,37.98116885875708,0.0,0.0,0.0,0.0
34,2022-05-05 18:41:26.724528,7.949490591208528,7.931770365957188,68.38395677323733,59.240212590502274,59.231034302107396,59.22728460399632,50.05188274417092,50.05186511756579,50.05186027857551,50.08174923703794,37.89006556620728,37.90927779893789,37.90921974361883,59.24507067021552,59.24058608904717,59.2858083674132,59.23456585021979,37.9000356202232,37.93199470521386,59.238597505271635,59.23604150112228,68.3839567732372,59.289801320257276,37.93596944102776,0.0,0.0,0.0,0.0
35,2022-05-05 18:41:27.339308,7.90416305795147,7.886508412972543,68.33866105816847,59.19491429758081,59.185738425744596,59.18199032792083,50.00659305647013,50.00657557561472,50.00657077647375,50.03646195547091,37.84478252701032,37.864013899433616,37.86395470103538,59.19980189630486,59.19528873681775,59.24046151499329,59.18926932294465,37.85474310057655,37.886752078959006,59.19330779469501,59.19074805487693,68.33866105816834,59.2444506993648,37.89073058093739,0.0,0.0,0.0,0.0
36,2022-05-05 18:41:27.984272,7.858849086265006,7.841232897434286,68.29336573637289,59.14961746653084,59.14044301124054,59.136695851293865,49.961301269166,49.96128387358987,49.961279097765456,49.991171577313445,37.79949464385573,37.81873724645145,37.818677376822386,59.154522377401086,59.149992457150425,59.19513621342156,59.14397352496239,37.80944964194763,37.84148789521994,59.14801599242401,59.14545407488687,68.29336573637276,59.19912318820366,37.84546860586608,0.0,0.0,0.0,0.0
37,2022-05-05 18:41:28.814671,7.82582995574249,7.813704010855902,68.2693470146461,59.125762897468306,59.12121381613736,59.11930455442444,49.960013717923864,49.95998831622963,49.95998138472057,49.97396213531231,37.78195750776515,37.78966429979907,37.7897072466564,59.125886133624405,59.12586097879755,59.15160842121199,59.12291927442331,37.787197619417356,37.798632928461636,59.12426201564775,59.123490249668016,68.26934701464597,59.1538269014625,37.80021705615733,0.0,0.0,0.0,0.0
38,2022-05-05 18:41:29.646652,7.794442270439057,7.784543686312235,68.23931332336163,59.095533532503005,59.091102903821366,59.089272801109644,49.9302283188032,49.930214375657265,49.93021055704047,49.944308613939484,37.75235559239045,37.760885678647824,37.7608851906634,59.0968853827239,59.095678810570554,59.11878999788733,59.09279557220747,37.757334550022954,37.77092401730486,59.09447612117581,59.09342168053681,68.23931332336151,59.120809758139984,37.77268638715739,0.0,0.0,0.0,0.0
